name,muscle_group,equipment_type
Back squat,Quads,barbell
Front squat,Quads,barbell
Box squat,Quads,barbell
Pause squat,Quads,barbell
Safety bar squat,Quads,barbell
Barbell split squat,Quads,barbell
Barbell lunge,Quads,barbell
Barbell reverse lunge,Quads,barbell
Barbell step-up,Quads,barbell
Trap bar deadlift,Quads,barbell
Bench press,Chest,barbell
Incline bench press,Chest,barbell
Decline bench press,Chest,barbell
Floor press,Chest,barbell
Close-grip bench press,Triceps,barbell
Skull crusher,Triceps,barbell
Deadlift,Back,barbell
Deficit deadlift,Back,barbell
Rack pull,Back,barbell
Romanian deadlift,Hamstrings,barbell
Stiff-leg deadlift,Hamstrings,barbell
Good morning,Hamstrings,barbell
Sumo deadlift,Glutes,barbell
Hip thrust,Glutes,barbell
Overhead press,Shoulders,barbell
Seated overhead press,Shoulders,barbell
Push press,Shoulders,barbell
Landmine press,Shoulders,barbell
Upright row,Shoulders,barbell
Barbell row,Back,barbell
Pendlay row,Back,barbell
T-bar row,Back,barbell
Landmine row,Back,barbell
Power clean,Back,barbell
Hang clean,Back,barbell
Barbell curl,Biceps,barbell
EZ-bar curl,Biceps,barbell
Preacher curl,Biceps,barbell
Reverse curl,Biceps,barbell
Barbell shrug,Traps,barbell
Barbell calf raise,Calves,barbell
Barbell wrist curl,Forearms,barbell
Barbell reverse wrist curl,Forearms,barbell
Dumbbell bench press,Chest,dumbbell
Incline dumbbell press,Chest,dumbbell
Decline dumbbell press,Chest,dumbbell
Dumbbell floor press,Chest,dumbbell
Neutral-grip dumbbell press,Chest,dumbbell
Dumbbell squeeze press,Chest,dumbbell
Dumbbell fly,Chest,dumbbell
Incline dumbbell fly,Chest,dumbbell
Dumbbell shoulder press,Shoulders,dumbbell
Seated dumbbell press,Shoulders,dumbbell
Arnold press,Shoulders,dumbbell
Lateral raise,Shoulders,dumbbell
Leaning lateral raise,Shoulders,dumbbell
Front raise,Shoulders,dumbbell
Rear delt fly,Shoulders,dumbbell
Dumbbell upright row,Shoulders,dumbbell
Dumbbell row,Back,dumbbell
